category,token,display,text
suffix-3,HRH_,,
N,HRHH,する,する
N,HRHL,なる,なる
N,HRHR,願う,願う
N,HRHF,信じる,信じる
suffix-3,HRL_,,
N,HRLH,歌う,歌う
N,HRLL,踊る,踊る
N,HRLR,思う,思う
N,HRLF,考える,考える
suffix-3,HRR_,,
N,HRRH,歩く,歩く
N,HRRL,待つ,待つ
N,HRRR,言う,言う
N,HRRF,聞く,聞く
suffix-3,HRF_,,
N,HRFH,知る,知る
N,HRFL,忘れる,忘れる
N,HRFR,生きる,生きる
N,HRFF,死ぬ,死ぬ
suffix-2,HF__,で,で
XX_X,HF_H,,
XX_X,HF_L,,
XX_X,HF_R,,
XX_X,HF_F,,
suffix-3,HFH_,,
N,HFHH,変わる,変わる
N,HFHL,変える,変える
N,HFHR,探す,探す
N,HFHF,笑う,笑う
suffix-3,HFL_,,
N,HFLH,わかる,わかる
N,HFLL,思い出す,思い出す
N,HFLR,見つける,見つける
N,HFLF,触れる,触れる
suffix-3,HFR_,,
N,HFRH,泣く,泣く
N,HFRL,鳴る,鳴る
N,HFRR,包む,包む
N,HFRF,壊れる,壊れる
suffix-3,HFF_,,
N,HFFH,開く,開く
N,HFFL,閉じる,閉じる
N,HFFR,輝く,輝く
N,HFFF,照らす,照らす
suffix-1,L___,に,に〔格助詞〕
x,L__H,,
x,L__L,,
x,L__R,,
x,L__F,,
x,L_H_,,
X_XX,L_HH,ちゃんと,ちゃんと
X_XX,L_HL,ただ,ただ、まっすぐ
X_XX,L_HR,ことさら,ことさら、わざと、故意に、とりわけ、特に
X_XX,L_HF,そっと,そっと
x,L_L_,,
X_XX,L_LH,ゆっくり,ゆっくり
X_XX,L_LL,ふと,ふと、ふっと、突然
X_XX,L_LR,まるで,まるで
X_XX,L_LF,さかさに,さかさに、逆に
x,L_R_,,
X_XX,L_RH,すぐ,すぐ
X_XX,L_RL,やっと,やっと
X_XX,L_RR,そろそろ,そろそろ
X_XX,L_RF,やがて,やがて
x,L_F_,,
X_XX,L_FH,まだ,まだ、いまだ
X_XX,L_FL,もう,もう、もはや、今更：すでに起こったこと。または、さらに続けよう、加えようとする気持ち。今となっては遅すぎるという気持ち。：もう過ぎた話、もう一つ
X_XX,L_FR,せめて,せめて
X_XX,L_FF,いっそ,いっそ
suffix-2,LH__,が,が
XX_X,LH_H,,
XX_X,LH_L,,
XX_X,LH_R,,
XX_X,LH_F,,
suffix-3,LHH_,,
N,LHHH,届く,届く
N,LHHL,繰り返す,繰り返す
N,LHHR,やめる,やめる
N,LHHF,とめる,とめる
suffix-3,LHL_,,
N,LHLH,呼ぶ,呼ぶ
N,LHLL,染まる,染まる
N,LHLR,食べる、飲む,食べる、飲む
N,LHLF,寝る,寝る、眠る
suffix-3,LHR_,,
N,LHRH,映える,映える
N,LHRL,狂う,狂う
N,LHRR,迷う,迷う
N,LHRF,重ねる,重ねる
suffix-3,LHF_,,
N,LHFH,明かす,明かす
N,LHFL,褪せる,褪せる
N,LHFR,消える,消える
N,LHFF,響く,響く
suffix-2,LL__,より,より
XX_X,LL_H,,
XX_X,LL_L,,
XX_X,LL_R,,
XX_X,LL_F,,
suffix-3,LLH_,,
N,LLHH,追う,追う
N,LLHL,落ちる,落ちる
N,LLHR,できる,できる
N,LLHF,あふれる,あふれる
suffix-3,LLL_,,
N,LLLH,残る,残る
N,LLLL,走る,走る
